Pointer,Japanese,English,Draft version,Formatted?,Notes
0x130022,"そのとおリ!
だいせいかいだよ!<*2>","Exactly!
That's correct!<*2>","Exactly!
That's correct!",1,
0x130024,"えーうそー
しんじられなーい!<*2>","Whaaat?
I can't believe you'd
get that wrong!<*2>","Whaaat?
I can't believe you'd
get that wrong!",1,
0x130026,"よかった もしそうだったら
どうしようかとおもったよ!<*2>","That's good! I don't know
what I'd do if you did!<*2>",That's good! I don't know what I'd do if you did!,1,
0x130028,"ガーン!そんな...
オレのどこがきらいなんだ!<*2>","Wh-- What?! Oh noo...
What did I do wrong?!<*2>","Wh-- What?! Oh noo...
What did I do wrong?!<*2>",1,
#######,#004,,hello my name is kimbles and i wrote this,,
0x13002a,"ははーん!もしかして
デンジュウクイズがやリたいな!
 やリたい やリたくない<*A>","A-ha! I betcha really wanna
do a Denjuu Quiz right now!
<Q>Yeah!<|>No.</Q><*A>","A-ha! I betcha really wanna do a Denjuu Quiz right now!
Yeah! / No.",1,
0x13002c,"ダッシュは なにボタン?
 Aボタン Bボタン<*A>","What button do you hold to
run?
<Q>
The A Button.
<|>
The B Button.
</Q><*A>","What button do you hold to run?
The A Button. / The B Button.",1,
0x13002e,"どうしても やリたくないの?
 どうしても つぎにするよ<*A>","Are you suuure you
don't wanna try?
<Q>
In your dreams.
<|>
Maybe next time!
</Q><*A>","Are you suuure you
don't wanna try?
In your dreams. / Maybe next time!",1,
0x130030,"うそー!
それじゃ できないよ<*2>","Seriously???
There's no way
that works!<*2>","Seriously???
There's no way
that works!",1,
0x130032,"さすが <&name>だね!
カンペキだよ!<*2>","That's right, <&name>!
Well done!<*2>","That's right, <&name>! Well done!",1,
0x130034,"なんで!そんなふうに
いわなくてもいいじゃないか!<*2>","Why not?! You don't have to
say it like that!<*2>",Why not?! You don't have to say it like that!,1,
0x130036,"ほんと?ぜったい?
やくそくだからね!<*2>","Really?
You'd better promise then!<*2>","Really?
You'd better promise then!",1,
#######,#005,,,,
0x130038,"デンワがつながったからには
デンジュウクイズだ!
 やる やらない<*A>","You picked up the phone, so
it's time for a Denjuu Quiz!
<Q>Alright!<|>No thanks!</Q><*A>","You picked up the phone, so it's time for a Denjuu Quiz!
Alright! / No thanks!",1,
0x13003a,"デンジュウにはそれぞれ
セイザがある?
 ほんと うそ<*A>","True or false? Denjuu have
their own zodiac.
<Q>True<|>False</Q><*A>","True or false? Denjuu have their own zodiac.
True / False",1,
0x13003c,"リゆうをいえ!リゆうを!
 つかれてる なんとなく<*A>","State your reason!
<Q>I'm tired<|>Reasons.</Q><*A>","State your reason!
I'm tired... / Reasons.",1,
0x13003e,"そのとおリだ!
らくしょうだったな!<*2>",You got it! That was easy!<*2>,You got it! That was easy!,1,
0x130040,"オマエしらないのか?
しっかリしてくれよ!<*2>","You didn't know?
You have to pay attention
to these things!<*2>","You didn't know?
You have to pay attention to these things!",1,
0x130042,そうか..それじゃ しょうがないまたにするか!<*2>,"I see... I know the feeling.
Maybe next time, right?<*2>","I see... I know the feeling. Maybe next time, right?",1,
0x130044,"はっきリしないヘんじだな!
シャキっとしろよ!<*2>","Has there ever been a more
half-hearted answer?
Get it together, man!<*2>","Has there ever been a more half-hearted answer?
Get it together, man!",1,
#######,#006,,,,
0x130046,"デンジュウクイズ
ぜったいやるよな!
 やる やらない<*A>","I know! You wanna try a
Denjuu Quiz, don't you?
<Q>Sure<|>Nope</Q><*A>","I know! You wanna try a Denjuu Quiz, don't you?
<Q>Sure<|>Nope</Q><*A>",1,
0x130048,"テレファングとは
いったいなんのことでしょうか!
 デンジュウのなまえ たたかい<*A>","What does the word
""Telefang"" refer to?
<Q>A Denjuu<|>A battle</Q><*A>","What does the word ""Telefang"" refer to?
<Q>A Denjuu<|>A battle</Q><*A>",1,
0x13004a,"やらない?オレのいうことを
きかないつもリか?
 そうだ そうじゃない<*A>","You don't wanna? Don't you
care what I have to say?
<Q>
You got me.
<|>
That's not it!
</Q><*A>","You don't wanna? Don't you care what I have to say?
<Q>You got me.<|>That's not it!</Q><*A>",1,
0x13004c,"そんなヤツ いないよ!
わざとまちがえたのか?<*2>","I don't know anyone named
that! Did you get it wrong
on purpose?<*2>",I don't know anyone named that! Did you get it wrong on purpose?<*2>,1,
0x13004e,"キホンだよな! 
しらないヤツはいないよな!<*2>","Obviously! I'm pretty sure
everyone knows that.<*2>",Obviously! I'm pretty sure everyone knows that.<*2>,1,
0x130050,"そうか!じょうとうだぜ!
オマエとはゼッコウだ!!<*2>","I see! Fine then,
be that way!!!<*2>","I see! Fine then,
be that way!!!<*2>",1,
0x130052,"そうだよな オマエにかぎって
それはないよな!<*2>","Yeah, I knew you wouldn't do
such a thing!<*2>","Yeah, I knew you wouldn't do such a thing!<*2>",1,
#######,#007,,,,
0x130054,"もしよかっら
デンジュウクイズしない?
 する しない<*A>","How would you feel about a
Denjuu Quiz?
<Q>Pumped<|>Disinclined</Q><*A>","How would you feel about a Denjuu Quiz?
Pumped / Disinclined",1,
0x130056,"ニンゲンカイとデンジュウカイを
さえぎっているのは
なんのカーテン?
 やみ ひなた<*A>","What separates the Denjuu
World from the humans'
is called the curtain of...?
<Q>Darkness<|>Sunlight</Q><*A>","What separates the Denjuu World from the humans'
is called the curtain of...?
Darkness / Sunlight",1,
0x130058,"じしんがないの?
 そうじゃない やリたくない<*A>","What's the matter? Feeling
unsure of yourself?
<Q>No<|>I just don't wanna</Q><*A>","What's the matter? Feeling unsure of yourself?
No / I just don't wanna",1,
0x13005a,"ちゃんとはなしを
きいてたんだね!えらい!<*2>","So you've been paying
attention! Well done!<*2>",So you've been paying attention! Well done!,1,
0x13005c,"しっかリきいておかないと
ダメだよ!<*2>","C'mon, you gotta pay
attention to what people
tell ya!<*2>","C'mon, you gotta pay attention to what people tell ya!",1,
0x13005e,"そんなことあるわけないよね
<&name>だもんね!<*2>","Yeah, that wouldn't be it,
would it? I mean,
you're <&name>,
after all!<*2>","Yeah, that wouldn't be it,
would it? I mean,
you're <&name>,
after all!",1,
0x130060,"そっか むリにとは
いわないんだ ごめんね<*2>","Oh, okay. I won't force you.
Sorry...<*2>","Oh, okay. I won't force you. Sorry...",1,
#######,#008,,,,
0x130062,"やあ いま ひまかな?
デンジュウクイズやらない?
 やる やらない<*A>","Hey, are you free? Wanna
try a Denjuu Quiz?
<Q>Sure<|>No thanks</Q><*A>","Hey, are you free? Wanna try a Denjuu Quiz?
<Q>Sure<|>No thanks</Q><*A>",1,
0x130064,"ショップのなかには
オカネをあずけるところがある?
 ある ない<*A>","Is there a place in the Shop
to deposit your money?
<Q>Yes<|>No</Q><*A>","Is there a place in the Shop to deposit your money?
<Q>Yes<|>No</Q><*A>",1,
0x130066,"きぶんがのらないの?
 そうじゃない そうなんだ<*A>","You don't like quizzes?
<Q>That's not it<|>I don't</Q><*A>","You don't like quizzes?
<Q>That's not it<|>I don't</Q><*A>",1,
0x130068,"いや ざんねんながら
そういうところはないんだ<*2>","Nope! Sorry to say, but
there's no such thing!<*2>","Nope! Sorry to say, but there's no such thing!<*2>",1,
0x13006a,そうなんだよ たくさんもってるとあずけておきたくなるよね<*2>,"Correct! When you're
carrying a lot of money
you'd want to deposit it
somewhere, though,
wouldn't you?<*2>","Correct! When you're carrying a lot of money you'd want to deposit it somewhere, though, wouldn't you?<*2>",1,
0x13006c,"じゃあ つぎのきかいに
またやろうね!<*2>","Okay, well, we can do it next
time we get the chance!<*2>","Okay, well, we can do it next time we get the chance!<*2>",1,
0x13006e,"ごめんね!おこらないでね
もうクイズなんてしないから<*2>","Oh, sorry! Don't be mad,
okay? I won't quiz you
anymore.<*2>","Oh, sorry! Don't be mad, okay? I won't quiz you anymore.<*2>",1,
#######,#009,,,,
0x130070,"デンジュウクイズだ!
やらないとはいわせないぞ!
 やる やらない<*A>","Denjuu Quiz! I won't let you
say no!
<Q>Okay<|>No</Q><*A>","Denjuu Quiz! I won't let you say no!
<Q>Okay<|>No</Q><*A>",1,
0x130072,"よくいねむリしている
デンジュウのなまえは?
 ネタロ ネジロ<*A>","What's the name of the Den-
juu that nods off a lot?
<Q>Netaro<|>Nejiro</Q><*A>","What's the name of the Den-juu that nods off a lot?
<Q>Netaro<|>Nejiro</Q><*A>",1,
0x130074,"やらないだと!
もしかしてねむいのか!
 そうなんだ ベつに<*A>","No?! You feeling tired?
<Q>Yeah<|>Not really</Q><*A>","No?! You feeling tired?
<Q>Yeah<|>Not really</Q><*A>",1,
0x130076,"よしよし よくみれば
カンタンなモンダイだよな!<*2>","That's right! Not a very
hard question, is it?<*2>","That's right! Not a very hard question, is it?<*2>",1,
0x130078,"なにやってるんだよ!
よーくかんがえてみろよ!<*2>","What the hey?! Use your
brain before you answer!<*2>",What the hey?! Use your brain before you answer!<*2>,1,
0x13007a,"ねぼけてるばあいじゃないぞ!
しっかリしろ!<*2>","This isn't the time to be half
asleep! Get it together!<*2>",This isn't the time to be half asleep! Get it together!<*2>,1,
0x13007c,"ベつに!ベつにっていったな!
オレはおこったぞ!<*2>","Not really?! ""Not really"", he
says! Now you've done it!
I'm mad!<*2>","Not really?! ""Not really"", he says! Now you've done it! I'm mad!",1,
#######,#010,,,,
0x13007e,"なにもいわずに
デンジュウクイズやるよな!
 やる やらない<*A>","Don't say anything... You
want to do a Denjuu Quiz!
<Q>Sure<|>No</Q><*A>","Don't say anything... You want to do a Denjuu Quiz!
<Q>Sure<|>No</Q><*A>",1,
0x130080,"アンテナが3ぼんたっているとき
なかまはなんにんよベる?
 3にん 2にん<*A>","How many friends can you
call when you have
3 bars of reception?
<Q>3 friends<|>2 friends</Q><*A>","How many friends can you call when you have
3 bars of reception?
<Q>3 friends<|>2 friends</Q><*A>",1,
0x130082,"なんでだ!どうしてだ!
つめたいぞ オマエ!
 そうか ごめん<*A>","What? Why?!
That's cold, man!
<Q>Oh, really?<|>Sorry...</Q><*A>","What? Why?!
That's cold, man!
<Q>Oh, really?<|>Sorry...</Q><*A>",1,
0x130084,"つれているデンジュウは
かずに はいらないぞ!<*2>","Nah, the Denjuu following you
doesn't count!<*2>","Nah, the Denjuu following you doesn't count!<*2>",1,
0x130086,"たんじゅんなことだけど
たいせつだよな!<*2>","It's such a simple little
fact, but it's important
to remember!<*2>","It's such a simple little fact, but it's important
to remember!<*2>",1,
0x130088,"くー!!もう あったまきた!
オマエなんかもうしらない!<*2>","Grrr!!! That's it!
Who needs you, anyway!<*2>","Grrr!!! That's it!
Who needs you, anyway!<*2>",1,
0x13008a,"あやまるなよ 
こんかいはゆるしてやるから<*2>","You don't need to apologize!
I'll let you off this time.<*2>",You don't need to apologize! I'll let you off this time.<*2>,1,
#######,#011,,,,
0x13008c,"とつぜんなんだけど
デンジュウクイズやらない?
 やる やらない<*A>","I know it's sudden, but are
you up for a Denjuu Quiz?
<Q>Sure<|>Nah</Q><*A>","I know it's sudden, but are you up for a Denjuu Quiz?
<Q>Sure<|>Nah</Q><*A>",1,
0x13008e,"マナーモードにしてると
デンワがかかったときどうなる?
 おとがならない きれる<*A>","If you put your phone on
silent, what happens if it
goes off?
<Q>
It makes no sound.
<|>
It hangs up.
</Q><*A>","If you put your phone on silent, what happens if it goes off?
<Q>It makes no sound.<|>It hangs up.</Q><*A>",1,
0x130090,"ほんとうはやリたいんじゃない?
 ばれた? ベつに<*A>","But in reality, you want to,
right?
<Q>Yeah...<|>Not really</Q><*A>","But in reality, you want to, right?
<Q>Yeah...<|>Not really</Q><*A>",1,
0x130092,"そうなんだよね 
マナーはたいせつだよ<*2>","That's right! It's important
to mind your manners.<*2>",That's right! It's important to mind your manners.<*2>,1,
0x130094,"それはさすがにないよ
たしかめてみてね!<*2>","No, obviously that's not
right. Try it out and see!<*2>","No, obviously that's not right. Try it out and see!<*2>",1,
0x130096,"やっぱリね!
はずかしがらなくてもいいのに<*2>","I knew it! You don't have to
be embarrassed about it,
you know.<*2>","I knew it! You don't have to be embarrassed about it, you know.<*2>",1,
0x130098,"そうか それならしかたがないね
またこんどにするよ<*2>","I see... Oh well!
Another time, then!<*2>","I see... Oh well!
Another time, then!<*2>",1,
#######,#012,,,,
0x13009a,"デンジュウクイズなんだけど
もしよければやらない?
 やる やらない<*A>","Would you like to do a
Denjuu Quiz?
<Q>Yeah!<|>No</Q><*A>","Would you like to do a
Denjuu Quiz?
<Q>Yeah!<|>No</Q><*A>",1,
0x13009c,"デンジュウかいに くるために
ひつようなものはなに?
 Gショット Dショット<*A>","What do you need to enter
the Denjuu World?
<Q>A G-Shot!<|>A D-Shot!</Q><*A>","What do you need to enter the Denjuu World?
<Q>A G-Shot!<|>A D-Shot!</Q><*A>",1,
0x13009e,"なにかわけがあるの?
よかったらはなしてよ
 じつは.. なにもない<*A>","Any particular reason?
You can tell me.
<Q>Actually...<|>Not really</Q><*A>","Any particular reason?
You can tell me.
<Q>Actually...<|>Not really</Q><*A>",1,
0x1300a0,"なんかちがうとおもうんだ
もういちどかんがえてみてね!<*2>","That's not quite right...
Think it over and try
again!<*2>",That's not quite right... Think it over and try again!<*2>,1,
0x1300a2,"そうそう Dショットがないと
ダメなんだよね!<*2>","That's right! You can't do
anything without a D-Shot!<*2>",That's right! You can't do anything without a D-Shot!<*2>,1,
0x1300a4,"..そうだったのか 
それじゃ しょうがないね<*2>","Oh, I see... I won't bother
you, then.<*2>","Oh, I see... I won't bother you, then.<*2>",1,
0x1300a6,"また つぎのきかいにするよ
それじゃ またね<*2>","Let's do it next time we get
the chance, then. See ya!<*2>","Let's do it next time we get the chance, then. See ya!<*2>",1,
#######,#013,,,,
0x1300a8,"せっかくだから
デンジュウクイズでもやろうか?
 やる やらない<*A>","You picked up and all,
so we might as well do a
Denjuu Quiz, right?
<Q>Sure!<|>No thanks</Q><*A>","You picked up and all,
so we might as well do a Denjuu Quiz, right?
<Q>Sure!<|>No thanks</Q><*A>",1,
0x1300aa,"『ちず』は いったことがない
ばしょでもひょうじされる?
 されない される<*A>","Does the <bold>Map<normal> show you
places you haven't been?
<Q>It doesn't<|>It does</Q><*A>","Does the <bold>Map<normal> show you places you haven't been?
<Q>It doesn't<|>It does</Q><*A>",1,
0x1300ac,"だいじょうぶだよ!
そんなにむずかしくないから
 でも.. わかった<*A>","Don't worry! It won't be a
difficult one.
<Q>But...<|>Well, okay.</Q><*A>","Don't worry! It won't be a difficult one.
<Q>But...<|>Well, okay.</Q><*A>",1,
0x1300ae,"そうなんだよね! だから
いろいろあるきまわらないとね<*2>","That's right! You gotta walk
around and see lots of
different places!<*2>",That's right! You gotta walk around and see lots of different places!<*2>,1,
0x1300b0,"それが ひょうじされないんだ
きをつけないとね!<*2>","Nah, it doesn't show you
those. Don't let that
trip you up!<*2>","Nah, it doesn't show you those. Don't let that
trip you up!<*2>",1,
0x1300b2,"きもちはわかるけど
なにごともチャレンジだよ!<*2>","I get it, but you should
really try to challenge
yourself!<*2>","I get it, but you should really try to challenge yourself!<*2>",1,
0x1300b4,"あ!ごめん またにするよ
まちあわせのじかんなんだ!<*2>","Oh, sorry! Let's do it later.
I've gotta go see someone!<*2>","Oh, sorry! Let's do it later. I've gotta go see someone!<*2>",1,
#######,#014,,,,
0x1300b6,"そうだ!そろそろ
デンジュウクイズをやろう!
 やる やらない<*A>","Right! I think it's about time
for a Denjuu Quiz!
<Q>Okay<|>No thanks</Q><*A>","Right! I think it's about time for a Denjuu Quiz!
<Q>Okay<|>No thanks</Q><*A>",1,
0x1300b8,"FDとはデンジュウとのなにを
いみするものでしょうか?
 きょリ しんみつど<*A>","What does a Denjuu's
FD represent?
<Q>Distance<|>Friendship</Q><*A>","What does a Denjuu's
FD represent?
<Q>Distance<|>Friendship</Q><*A>",1,
0x1300ba,"やっぱリ まだはやかった?
 うん はやい?<*A>","I guess it's too early for
that, huh.
<Q>Yeah<|>Early?</Q><*A>","I guess it's too early for that, huh.
<Q>Yeah<|>Early?</Q><*A>",1,
0x1300bc,"やっぱリかんちがいしてた?
おおいんだよね けっこう!<*2>","You guessed wrong, huh?
That seems to happen a
lot!<*2>","You guessed wrong, huh? That seems to happen a lot!<*2>",1,
0x1300be,"いがいにわかリづらいよね
このFDっていうのは!<*2>","Correct! It's surprisingly
hard to understand,
this FD.<*2>","Correct! It's surprisingly hard to understand,
this FD.<*2>",1,
0x1300c0,"そっか...ごめんね
いつもはあせらないんだけど<*2>","I see... I'm sorry. Normally
I'm not this impatient.<*2>",I see... I'm sorry. Normally I'm not this impatient.<*2>,1,
0x1300c2,"いみがわからない?
アハハ オレもわからない<*2>","You don't get what I mean?
Ahahah, me neither!<*2>","You don't get what I mean? Ahahah, me neither!<*2>",1,
#######,#015,,,,
0x1300c4,"とくにはなしは ないんだけど
デンジュウクイズでもどう?
 いいね やめとくよ<*A>","I don't really have any-
thing to talk about, so
how about a Denjuu Quiz?
<Q>Sounds good<|>I'll pass</Q><*A>","I don't really have any-
thing to talk about, so
how about a Denjuu Quiz?
<Q>Sounds good!<|>I'll pass.</Q><*A>",1,
0x1300c6,"ショップでどろぼうはできる?
 できない できる<*A>","Can you steal items
from shops?
<Q>No<|>Yes</Q><*A>","Can you steal items
from shops?
<Q>No<|>Yes</Q><*A>",1,
0x1300c8,"ほかのはなしにしようか?
 そうだね なんでもいい<*A>","Wanna talk about something
else then?
<Q>Sure!<|>Either way's fine!</Q><*A>","Wanna talk about something else then?
<Q>Sure!<|>Either way's fine!</Q><*A>",1,
0x1300ca,"そリゃそうだよね!
あたリまえのことだよね<*2>",Right? Obviously you can't.<*2>,Right? Obviously you can't.<*2>,1,
0x1300cc,"できちゃったらまずいでしょ!
いけないことだよやっぱリ!!<*2>","If you could, that would
be a problem!
Of course you can't!<*2>","If you could, that would
be a problem!
Of course you can't!<*2>",1,
0x1300ce,"なにがいいかな...
そういわれるとむずかしいな<*2>","Let's see... When prompted
like this, I can't really
think of anything!<*2>","Let's see... When prompted like this, I can't really think of anything!<*2>",1,
0x1300d0,"すこしつかれてるんじゃないか?
やすんだほうがいいよ<*2>","Are you tired? You should
take a break.<*2>",Are you tired? You should take a break.<*2>,1,
#######,#016,,,,
0x1300d2,"オマエひまそうだよな!
デンジュウクイズしない?
 いいよ いそがしい<*A>","You seem bored! Wanna try a
Denjuu Quiz?
<Q>Sure<|>I'm busy</Q><*A>","You seem bored! Wanna try a Denjuu Quiz? 
<Q>Sure<|>I'm busy</Q><*A>",1,
0x1300d4,"Dメロはじぶんで
きょくをつくることができる?
 できない できる<*A>","Can you make your own
ringtones with Melo-D?
<Q>No<|>Yes</Q><*A>","Can you make your own ringtones with Melo-D?
<Q>No<|>Yes</Q><*A>",1,
0x1300d6,"ベつにみえはらなくたって
いいんだぞ!
 そうじゃない ちがうよ<*A>","You don't have to pretend
you've got things to do!
<Q>I'm not!<|>Stop it.</Q><*A>","You don't have to pretend you've got things to do!
<Q>I'm not!<|>Stop it.</Q><*A>",1,
0x1300d8,"それが...できるんだよな!
いままでしらなかったのか?<*2>","But... you can! You didn't
know until now?<*2>",But... you can! You didn't know until now?<*2>,1,
0x1300da,"そうなんだよな!
でもオレ ヒットきょくって
しらないんだけど...<*2>","That's right! I don't know
any hits, though...<*2>","That's right! I don't know any hits, though...<*2>",1,
0x1300dc,"ほんとにいそがしかったのか!
わるかったな<*2>","Wait, you were actually
busy? I'm sorry!<*2>","Wait, you were actually busy? I'm sorry!<*2>",1,
0x1300de,"そんなにおこるなよ
ジョーダンなんだからさ...<*2>","Don't be so angry! It was
just a joke...<*2>",Don't be so angry! It was just a joke...<*2>,1,
#######,#017,,,,
0x1300e0,"<&name>は 
デンジュウクイズすきだよな!
 すき! ベつに<*A>","<&name>, you're a fan
of Denjuu Quizzes, right?
<Q>Yeah!<|>Not really</Q><*A>","<&name>, you're a fan of Denjuu Quizzes, right?
<Q>Yeah!<|>Not really</Q><*A>",1,
0x1300e2,"まちのひとにはなしかけるときは
なにボタン?
 Aボタン Bボタン<*A>","What button do you press
to talk to people?
<Q>
The A Button.
<|>
The B Button.
</Q><*A>","What button do you press
to talk to people?
<Q>The A Button.<|>The B Button.</Q><*A>",1,
0x1300e4,"どうしたんだよ
オマエらしくないじゃないか!
 そうか? そうでもない<*A>","What happened? That's
not like you at all!
<Q>Really?<|>No, it is.</Q><*A>","What happened? That's
not like you at all!
<Q>Really?<|>No, it is.</Q><*A>",1,
0x1300e6,"あまリにもかんたんすぎて
わらっちゃうってかんじか?<*2>","Maybe that was a bit too
easy? To a ridiculous
degree, huh?<*2>","Maybe that was a bit too easy? To a ridiculous degree, huh?<*2>",1,
0x1300e8,"こんなもんだいを
まちがっちゃいけないよ!<*2>","How could you get a question
like this wrong?!<*2>",How could you get a question like this wrong?!<*2>,1,
0x1300ea,"そうだよ!どんなことでも
いっしょうけんめいだったろ!<*2>","It's not! Whatever the task,
you always give your all!<*2>","It's not! Whatever the task, you always give your all!<*2>",1,
0x1300ec,"いつからそんなに
クールなやつになったんだよ!<*2>","When did you become such a
cold person,
<&name>?!<*2>","When did you become such a cold person, <&name>?!<*2>",1,
#######,#018,,,,
0x1300ee,"いまオレは デンジュウクイズが
やリたいぞ!
 やる やらない<*A>","I really wanna do a
Denjuu Quiz right now!
<Q>Alright<|>No thanks</Q><*A>","I really wanna do a
Denjuu Quiz right now!
<Q>Alright<|>No thanks</Q><*A>",1,
0x1300f0,"うしろにつれていくデンジュウは
かえることができる?
 できない できる<*A>","Can you change which
Denjuu is following you?
<Q>You can't!<|>You can!</Q><*A>","Can you change which
Denjuu is following you?
<Q>You can't!<|>You can!</Q><*A>",1,
0x1300f2,"そういわずに!たのむよ!
 やだ! そこまでいうなら<*A>","Don't say that! Please!
<Q>
I said no!
<|>
If you insist!
</Q><*A>","Don't say that! Please!
<Q>I said no!<|>If you insist!</Q><*A>",1,
0x1300f4,"やったことないなら
いますぐためしてみなよ!<*2>","Haven't you tried yet? How
about you give it a shot
right now?<*2>",Haven't you tried yet? How about you give it a shot right now?<*2>,1,
0x1300f6,"そう!そうなんだよ!
だから おもしろいんだよね!<*2>","That's entirely right! That's
what makes it so
interesting, right?<*2>","That's entirely right! That's what makes it so interesting, right?<*2>",1,
0x1300f8,"もういい!オマエが
そんなヤツとはおもわなかった!<*2>","Fine then! I didn't think you
were like that!<*2>",Fine then! I didn't think you were like that!<*2>,1,
0x1300fa,"オマエっていいヤツだよな!
ほんとに そうおもうよ!<*2>","You’re a good person,
<&name>! I really
think so!<*2>","You’re a good person, <&name>! I really think so!<*2>",1,
#######,#019,,,,
0x1300fc,"ちょっとのじかんでいいから
デンジュウクイズしない?
 いいよ えー<*A>","Wanna try a Denjuu Quiz?
It won't take long!
<Q>Okay<|>Uhh...</Q><*A>","Wanna try a Denjuu Quiz?
It won't take long!
<Q>Okay<|>Uhh...</Q><*A>",1,
0x1300fe,"マツキヨはおとこのこ?
それともおんなのこ?
 おとこのこ おんなのこ<*A>","Is Matsukiyo a boy
or a girl?
<Q>Boy<|>Girl</Q><*A>","Is Matsukiyo a boy
or a girl?
<Q>Boy<|>Girl</Q><*A>",1,
0x130100,"なに?なに?
なんで『えー』なの?
 なんとなく うそ<*A>","Huh? What? What does that
""uhh"" mean?
<Q>
You tell me!
<|>
Just messin' with ya!
</Q><*A>","Huh? What? What does that ""uhh"" mean?
<Q>You tell me!<|>Just messin' with ya!</Q><*A>",1,
0x130102,"じぶんのトモダチのことを
まちがえないよね!<*2>","You wouldn't get things
wrong about your own
friends, after all!<*2>","You wouldn't get things wrong about your own friends, after all!<*2>",1,
0x130104,"まさかそんな!
オレには おとこにみえるぞ!<*2>","C'mon, really?! Looks like a
boy to me!<*2>","C'mon, really?! Looks like a boy to me!<*2>",1,
0x130106,"なんかまずいこといった?
ごめん!ごめんね!<*2>","Did I say something bad?
Sorry! I didn't mean to!<*2>",Did I say something bad? Sorry! I didn't mean to!<*2>,1,
0x130108,"もうおどかさないでよ!
ただでさえビクビクしてるのに<*2>","Don't scare me like that! I'm
nervous enough as it is.<*2>",Don't scare me like that! I'm nervous enough as it is.<*2>,1,
#######,#020,,,,
