0x130044,"はっきリしないヘんじだな!
シャキっとしろよ!<*2>","What's with that half-hearted answer? Get it together, man!<*2>",,
#######,#006,,,
0x130046,"デンジュウクイズ
ぜったいやるよな!
 やる やらない<*A>","I know! You wanna try a Denjuu Quiz, don't you?
<0>Sure<0>Nope <*A>",,
0x130048,"テレファングとは
いったいなんのことでしょうか!
 デンジュウのなまえ たたかい<*A>","What does the word ""Telefang"" refer to?
<0>A Denjuu<0>A battle<*A>",,
0x13004a,"やらない?オレのいうことを
きかないつもリか?
 そうだ そうじゃない<*A>","You don't? Or are you just trying to ignore me?
<0>You got me<0>That's not it<*A>",,
0x13004c,"そんなヤツ いないよ!
わざとまちがえたのか?<*2>",I don't know anyone named that! Did you get it wrong on purpose?<*2>,,
0x13004e,"キホンだよな! 
しらないヤツはいないよな!<*2>",Obviously! I'm pretty sure everyone knows that.<*2>,,
0x130050,"そうか!じょうとうだぜ!
オマエとはゼッコウだ!!<*2>","I see! Fine then, be that way!!<*2>",,
0x130052,"そうだよな オマエにかぎって
それはないよな!<*2>","I knew it! You'd never say such a thing, would you? //<*2>",,
#######,#007,,,
0x130054,"もしよかっら
デンジュウクイズしない?
 する しない<*A>","Hey, if you've got a moment, wanna try a Denjuu Quiz?
<0>Sure<0>No thanks<*A>",,
0x130056,"ニンゲンカイとデンジュウカイを
さえぎっているのは
なんのカーテン?
 やみ ひなた<*A>","What kind of curtain separates the Human World from the Denjuu World?
<0>Darkness<0>Sunshine<*A>",,
0x130058,"じしんがないの?
 そうじゃない やリたくない<*A>","Not feeling confident?
<0>That's not it<0>Don't feel like it<*A>",,
0x13005a,"ちゃんとはなしを
きいてたんだね!えらい!<*2>",I see you were paying attention to Musa's story! Good job!<*2>,,
0x13005c,"しっかリきいておかないと
ダメだよ!<*2>",That's no good! You need to pay closer attention to what people tell you!<*2>,,
0x13005e,"そんなことあるわけないよね
<&name>だもんね!<*2>","That's right! I know you of all people wouldn't lack confidence, <&name>! //<*2>",,
0x130060,"そっか むリにとは
いわないんだ ごめんね<*2>","I see... Well, I won't force you to. Sorry.<*2>",,
#######,#008,,,
0x130062,"やあ いま ひまかな?
デンジュウクイズやらない?
 やる やらない<*A>","Hey, you're bored, right? Wanna try a Denjuu Quiz?
<0>Sure<0>No thanks<*A>",,
0x130064,"ショップのなかには
オカネをあずけるところがある?
 ある ない<*A>","Is there a place in the Shop to deposit your money? //
<0>Yes<0>No<*A>",,
0x130066,"きぶんがのらないの?
 そうじゃない そうなんだ<*A>","Are you not feeling well?
<0>No<0>That's right<*A>",,
0x130068,"いや ざんねんながら
そういうところはないんだ<*2>","Sorry to say, but there's no such thing!<*2> //",,
0x13006a,そうなんだよ たくさんもってるとあずけておきたくなるよね<*2>,"That's correct! When you're carrying a lot of money you'd want to deposit it somewhere, wouldn't you?<*2>  //",,
0x13006c,"じゃあ つぎのきかいに
またやろうね!<*2>","//Okay, well, we can do it next time!<*2>",,
0x13006e,"ごめんね!おこらないでね
もうクイズなんてしないから<*2>",I'm sorry! Please don't get mad... I won't quiz you anymore!<*2>,,
#######,#009,,,
0x130070,"デンジュウクイズだ!
やらないとはいわせないぞ!
 やる やらない<*A>","Denjuu Quiz!! You can't refuse!
<0>Okay<0>Too bad!<*A>",,
0x130072,"よくいねむリしている
デンジュウのなまえは?
 ネタロ ネジロ<*A>","What's the name of the Denjuu that's sleepy a lot?  //
<0>Netaro<0>Nejiro<*A>",,
0x130074,"やらないだと!
もしかしてねむいのか!
 そうなんだ ベつに<*A>","You refused?! You feeling too tired or something?
<0>Yeah<0>Not really<*A>",,
0x130076,"よしよし よくみれば
カンタンなモンダイだよな!<*2>","That's right! It's obvious when you consider their names, isn't it?  //<*2>",,
0x130078,"なにやってるんだよ!
よーくかんがえてみろよ!<*2>",What the hey! Use your brain before you answer!  //<*2>,,
0x13007a,"ねぼけてるばあいじゃないぞ!
しっかリしろ!<*2>",This isn't the time to be zoning out! Pull yourself together!<*2>,,
0x13007c,"ベつに!ベつにっていったな!
オレはおこったぞ!<*2>","Not really?! ""Not really"", he says! Are you trying to make me angry?!<*2>",,
#######,#010,,,
0x13007e,"なにもいわずに
デンジュウクイズやるよな!
 やる やらない<*A>","Suddenly, without warning... It's time for a Denjuu Quiz!
<0>Okay<0>No<*A>",,
0x130080,"アンテナが3ぼんたっているとき
なかまはなんにんよベる?
 3にん 2にん<*A>","How many friends can you call when you have 3 bars of reception?
<0>3 friends<0>2 friends  //<*A>",,
0x130082,"なんでだ!どうしてだ!
つめたいぞ オマエ!
 そうか ごめん<*A>","What? Why?! You've been such a jerk lately!
<0>Oh, really?<0>Sorry<*A>",,
0x130084,"つれているデンジュウは
かずに はいらないぞ!<*2>","Sorry, the Denjuu standing behind you isn't included in that number!<*2>",,
0x130086,"たんじゅんなことだけど
たいせつだよな!<*2>","It's such a simple little fact, but it's important to remember!  //<*2>",,
0x130088,"くー!!もう あったまきた!
オマエなんかもうしらない!<*2>",Grrr!! That's it! We're no longer friends!<*2>,,
0x13008a,"あやまるなよ 
こんかいはゆるしてやるから<*2>",Don't apologize! I'll let you off this time!  //<*2>,,
#######,#011,,,
0x13008c,"とつぜんなんだけど
デンジュウクイズやらない?
 やる やらない<*A>","I know it's sudden, but are you up for a Denjuu Quiz?
<0>Sure<0>Nah<*A>",,
0x13008e,"マナーモードにしてると
デンワがかかったときどうなる?
 おとがならない きれる<*A>","If you put your phone on Silent mode, what happens if it goes off?
<0>Makes no sound<0>Hangs up //<*A>",,
0x130090,"ほんとうはやリたいんじゃない?
 ばれた? ベつに<*A>","Are you sure you don't want to? //
<0>You found me out<0>Nah //<*A>",,
0x130092,"そうなんだよね 
マナーはたいせつだよ<*2>",That's right! It's important to properly use Silent mode in the right situation!  //<*2>,,
0x130094,"それはさすがにないよ
たしかめてみてね!<*2>","No, that's not right! Check it out and see!  //<*2>",,
0x130096,"やっぱリね!
はずかしがらなくてもいいのに<*2>","I knew it! You don't have to be embarrassed about it, you know.  //<*2>",,
0x130098,"そうか それならしかたがないね
またこんどにするよ<*2>","I see... Oh well! Let's do it next time, then!<*2>",,
#######,#012,,,
0x13009a,"デンジュウクイズなんだけど
もしよければやらない?
 やる やらない<*A>","Hey, would you like to do a Denjuu Quiz? //
<0>Yeah!<0>No<*A>",,
0x13009c,"デンジュウかいに くるために
ひつようなものはなに?
 Gショット Dショット<*A>","In order to come to the Denjuu World, what item do you need? //
<0>G-Shot<0>D-Shot<*A>",,
0x13009e,"なにかわけがあるの?
よかったらはなしてよ
 じつは.. なにもない<*A>","Do you have a reason? // you can tell me.
<0>Actually...<0>I don't //<*A>",,
0x1300a0,"なんかちがうとおもうんだ
もういちどかんがえてみてね!<*2>",That's not quite right... Think it over and try again!<*2>,,
0x1300a2,"そうそう Dショットがないと
ダメなんだよね!<*2>",That's right! You can't do anything without a D-Shot!<*2>,,
0x1300a4,"..そうだったのか 
それじゃ しょうがないね<*2>","Oh, I see... Well, it can't be helped, huh? //<*2>",,
0x1300a6,"また つぎのきかいにするよ
それじゃ またね<*2>","Let's do it when the opportunity rises, then. Well, see ya! //<*2>",,
#######,#013,,,
0x1300a8,"せっかくだから
デンジュウクイズでもやろうか?
 やる やらない<*A>","I called, so we might as well do a Denjuu Quiz, right? //
<0>Okay<0>No thanks<*A>",,
0x1300aa,"『ちず』は いったことがない
ばしょでもひょうじされる?
 されない される<*A>","Does the ""Map"" show you locations you haven't been to?
<0>It doesn't<0>It does<*A>",,
0x1300ac,"だいじょうぶだよ!
そんなにむずかしくないから
 でも.. わかった<*A>","Don't worry! It won't be a difficult one.
<0>But...<0>Well, okay<*A>",,
0x1300ae,"そうなんだよね! だから
いろいろあるきまわらないとね<*2>",That's right! You gotta walk around and see lots of different places! //<*2>,,
0x1300b0,"それが ひょうじされないんだ
きをつけないとね!<*2>","No, it doesn't show you those places! Be careful to remember that! //<*2>",,
0x1300b2,"きもちはわかるけど
なにごともチャレンジだよ!<*2>","I understand, but I think you should really accept any kind of challenge! //<*2>",,
0x1300b4,"あ!ごめん またにするよ
まちあわせのじかんなんだ!<*2>","Oh, sorry! Let's do it next time, I've got an appointment! //<*2>",,
#######,#014,,,
0x1300b6,"そうだ!そろそろ
デンジュウクイズをやろう!
 やる やらない<*A>","Right! I think it's about time for a Denjuu Quiz!
<0>Okay<0>No thanks<*A>",,
0x1300b8,"FDとはデンジュウとのなにを
いみするものでしょうか?
 きょリ しんみつど<*A>","What is the meaning of a Denjuu's FD?
<0>Distance<0>Intimacy //<*A>",,
0x1300ba,"やっぱリ まだはやかった?
 うん はやい?<*A>","Too early, after all? // (early in the day)
<0>Yeah<0>Early?<*A>",,
0x1300bc,"やっぱリかんちがいしてた?
おおいんだよね けっこう!<*2>",Did you guess wrong? That seems to happen a lot! //,,
0x1300be,"いがいにわかリづらいよね
このFDっていうのは!<*2>",Correct! A lot of people seem to have trouble grasping what FD is! //,,
0x1300c0,"そっか...ごめんね
いつもはあせらないんだけど<*2>",I see... I'm sorry. Normally I'm not this impatient...,,
0x1300c2,"いみがわからない?
アハハ オレもわからない<*2>","You don't understand what I meant? Ahaha, me neither! //",,
#######,#015,,,
0x1300c4,"とくにはなしは ないんだけど
デンジュウクイズでもどう?
 いいね やめとくよ<*A>","I don't really have anything to talk about, so how about we have a Denjuu Quiz? //
<0>Sounds good<0>Nah<*A>",,
0x1300c6,"ショップでどろぼうはできる?
 できない できる<*A>","Can you steal items from shops?
<0>No<0>Yes<*A>",,
0x1300c8,"ほかのはなしにしようか?
 そうだね なんでもいい<*A>","Wanna talk about something else then?
<0>Sure<0>Don't care<*A>",,
0x1300ca,"そリゃそうだよね!
あたリまえのことだよね<*2>",That's right! Of course you can't! //<*2>,,
0x1300cc,"できちゃったらまずいでしょ!
いけないことだよやっぱリ!!<*2>","If you could, that would be really bad! Of course you shouldn't steal! //<*2>",,
0x1300ce,"なにがいいかな...
そういわれるとむずかしいな<*2>","Let's see... Well, when you bring it up like that, I can't really think of anything! //<*2>",,
0x1300d0,"すこしつかれてるんじゃないか?
やすんだほうがいいよ<*2>","Are you tired? Make sure to take a break, okay? //<*2>",,
#######,#016,,,
0x1300d2,"オマエひまそうだよな!
デンジュウクイズしない?
 いいよ いそがしい<*A>","You seem bored! Wanna try a Denjuu Quiz? 
<0>Sure<0>I'm busy<*A>",,
0x1300d4,"Dメロはじぶんで
きょくをつくることができる?
 できない できる<*A>","Can you make your own tunes on the Melo-D? //
<0>No<0>Yes<*A>",,
0x1300d6,"ベつにみえはらなくたって
いいんだぞ!
 そうじゃない ちがうよ<*A>","You don't have to pretend you're busy! //
<0>I'm not<0>Stop it<*A>",,
0x1300d8,"それが...できるんだよな!
いままでしらなかったのか?<*2>",But... you can! You didn't know?<*2>,,
0x1300da,"そうなんだよな!
でもオレ ヒットきょくって
しらないんだけど...<*2>",That's right! But I don't know any hit songs I could enter... //<*2>,,
0x1300dc,"ほんとにいそがしかったのか!
わるかったな<*2>","Wait, you were actually busy? I'm sorry!<*2>",,
0x1300de,"そんなにおこるなよ
ジョーダンなんだからさ...<*2>",Don't be so angry! It was just a joke... //<*2>,,
#######,#017,,,
0x1300e0,"<&name>は 
デンジュウクイズすきだよな!
 すき! ベつに<*A>","<&name>, you're a fan of Denjuu Quizzes, right?
<0>Yeah!<0>Not really<*A>",,
0x1300e2,"まちのひとにはなしかけるときは
なにボタン?
 Aボタン Bボタン<*A>","What button do you press to talk to people?
<0>A Button<0>B Button<*A>",,
0x1300e4,"どうしたんだよ
オマエらしくないじゃないか!
 そうか? そうでもない<*A>","What happened? This isn't like you at all!
<0>Really?<0>Yes it is<*A>",,
0x1300e6,"あまリにもかんたんすぎて
わらっちゃうってかんじか?<*2>",Maybe that was a little too easy? Laughably so? //<*2>,,
0x1300e8,"こんなもんだいを
まちがっちゃいけないよ!<*2>",How could you get a question like this wrong?!<*2>,,
0x1300ea,"そうだよ!どんなことでも
いっしょうけんめいだったろ!<*2>",It's not! You always seem to do your best no matter what!  // (-seem to)<*2>,,
0x1300ec,"いつからそんなに
クールなやつになったんだよ!<*2>","When did you become such a cold person, <&name>?! // (distant?)<*2>",,
#######,#018,,,
0x1300ee,"いまオレは デンジュウクイズが
やリたいぞ!
 やる やらない<*A>","I really wanna do a Denjuu Quiz right now!
<0>Alright<0>No thanks<*A>",,
0x1300f0,"うしろにつれていくデンジュウは
かえることができる?
 できない できる<*A>","Is the Denjuu you're bringing with you able to return to their home?  //
<0>No<0>Yes<*A>",,
0x1300f2,"そういわずに!たのむよ!
 やだ! そこまでいうなら<*A>","Don't say that! Please!
<0>No!<0>If you insist<*A>",,
0x1300f4,"やったことないなら
いますぐためしてみなよ!<*2>","If you haven't tried it yet, how about you try it now?  //<*2>",,
0x1300f6,"そう!そうなんだよ!
だから おもしろいんだよね!<*2>","That's entirely right! That's what makes it so interesting, isn't it? //<*2>",,
0x1300f8,"もういい!オマエが
そんなヤツとはおもわなかった!<*2>","Fine, never mind! I never took you for that kind of person!  // (forget it)<*2>",,
0x1300fa,"オマエっていいヤツだよな!
ほんとに そうおもうよ!<*2>","You’re a good person, <&name>! I really think that! //<*2>",,
#######,#019,,,
0x1300fc,"ちょっとのじかんでいいから
デンジュウクイズしない?
 いいよ えー<*A>","If you've got time to spare, wanna try a Denjuu Quiz?
<0>Okay<0>Ugh...<*A>",,
0x1300fe,"マツキヨはおとこのこ?
それともおんなのこ?
 おとこのこ おんなのこ<*A>","Is Matsukiyo a boy or a girl?
<0>Boy<0>Girl<*A>",,
0x130100,"なに?なに?
なんで『えー』なの?
 なんとなく うそ<*A>","What? Huh? Wait, why'd you go ""Ugh""??  //
<0>...<0>Just messing with you<*A>",,
0x130102,"じぶんのトモダチのことを
まちがえないよね!<*2>","You wouldn't get things about your own friends wrong, after all! //<*2>",,
0x130104,"まさかそんな!
オレには おとこにみえるぞ!<*2>","What, really?! He looks like a boy to me!<*2>",,
0x130106,"なんかまずいこといった?
ごめん!ごめんね!<*2>",Oh... Did I say something bad? I'm sorry! I didn't mean to! //<*2>,,
0x130108,"もうおどかさないでよ!
ただでさえビクビクしてるのに<*2>",Hey... Don't startle me like that! I'm nervous enough as it is... //<*2>,,
#######,#020,,,
0x13010a,"もしデンジュウクイズしようって
いったらおこる?
 おこらない おこる<*A>","If I told you I wanted to do a Denjuu quiz right now, would you be angry? //
<0>No<0>Yes.<*A>",,
0x13010c,Tファンガーはおとこしかいない? いない そんなことない<*A>,"Are there only male T-Fangers? //
<0>Yes<0>That's not true  //<*A>",,
0x13010e,"おこる?おこるの?ぜったい?
 ぜったい そんなわけないよ<*A>","Really? You'd get mad? You sure? // [You mean it?]
<0>Yes<0>Obviously not!<*A>",,
0x130110,"それはちがうとおもうよ
おんなのこもたくさんいるから<*2>",I don't think so! There are plenty of female T-Fangers out there!<*2>,,
0x130112,"<&name>のともだちにも
おんなのこがいるもんね!<*2>","You have a female friend who is one too, after all, right <&name>? //<*2>",,
0x130114,"そうなの?そうなの?
じゃあ やめるよ!<*2>","Really? Okay then, nevermind!  // (let’s forget about it)<*2>",,
0x130116,"よかったー おこられたら
どうしようかとおもった!<*2>",Phew! I dunno what I'd do if you got mad at me!<*2>,,
#######,#021,,,
0x130118,"そろそろデンジュウクイズが
やリたくなってきただろ!
 やリたい やリたくない<*A>","I think it's about time for a Denjuu Quiz!
<0>Okay<0>Don’t wanna<*A>",,
0x13011a,"けいけんちをあげることによって
しんかするほうほうは?
 しぜんしんか はってんしんか<*A>","What is the kind of evolution that you get by gaining experience called?  // (type?)
<0>Natural<0>Standard Evolution<*A>",,
0x13011c,"そういう たいどにでて
いいとおもってるのか!
 おもってる わるかった<*A>","Do you think that kind of attitude is acceptable?  // (?!)
<0>Yep<0>Sorry  //<*A>",,
0x13011e,"わかってるじゃないか!
しっかリおぼえといてくれよ!<*2>",You know your stuff! Make sure to remember it!  // (be sure?)<*2>,,
0x130120,"なにかがちがうんだよなー
オマエもわかってるだろ?<*2>","Something's off about that... You realize it too, don't you?  //<*2>",,
0x130122,"オレをおこらせるとこわいぞ!
ほんとだぞ!!<*2>","You won't like me when I'm angry, you know! Really!!  //<*2>",,
0x130124,"こんかいはみのがしてやるけど
つぎはぜったい やるんだぞ!<*2>","Fine, I'll overlook it this time! But next time, we're definitely doing it!  // (-fine)<*2>",,
#######,#022,,,
0x130126,"デンジュウクイズだ!
やリたくないわけがないよな!
 そうだね いやだ<*A>","Time for a Denjuu Quiz! I won't accept any excuses! //
<0>Got it!<0>No way<*A>",,
0x130128,"キカイとくみあわせて
しんかさせるのは?
 かこうしんか かいぞうしんか<*A>","What's it called when you evolve a Denjuu using machines?
<0>Merge<0>Fusion Evolution //<*A>",,
0x13012a,"オマエなら そういうと
おもったんだよな
 やっぱリ? うそつけ<*A>","I knew you'd say that.
<0>For real?<0>Liar<*A>",,
0x13012c,"おしいな!でもちがうぞ!
ベんきょうしてこいよ!<*2>",Close! But wrong! Go and brush up your knowledge on evolution! //<*2>,,
0x13012e,"よくわかったな!
すごいやつだぜ オマエ!<*2>",You sure know your things! You're quite amazing! //<*2>,,
0x130130,"バレバレだぜ!
わかリやすいよな オマエって!<*2>","You definitely would! You're quite predictable, you know. // (I totally called it!)<*2>",,
0x130132,"オレはうそなんかついてない!
ほんとのことだ!<*2>",You really think I would lie? Come on! //<*2>,,
#######,#023,,,
0x130134,"ちょっときぶんをかえて
デンジュウクイズはどうですか?
 やる やらない<*A>","How about a Denjuu Quiz for a change?
<0>Sure<0>No thanks<*A>",,
0x130136,"ちがうデンジュウのDNAを
くみあわせるしんかは?
 じっけんしんか はかいしんか<*A>","What type of evolution requires splicing DNA from another Denjuu?
<0>Lab evolution<0>Ex evolution<*A>",,"Should change this to something more likely...
Other options: DNA, Test, Genetic, Bio ???"
0x130138,"のリきでないのなら
しかたがないですね...
 やっぱリやる ごめん<*A>","Well, if you really don't feel like it...
<0>Actually...<0>Sorry<*A>",,
0x13013a,"セイカイ!じっけんしんかは
なかなかできないんだよね!<*2>",Correct! //<*2>,,
0x13013c,"もしかしてまだしらない?
それじゃ しょうがないけど..<*2>",Maybe you don't actually know about this yet? I suppose you wouldn't know the answer then...<*2>,,
0x13013e,"そうくるとおもってましたよ!
でもまたこんどにしましょう<*2>",I knew you'd come around! But let's do it next time after all! //<*2>,,
0x130140,"あやまることはないですよ
そういうこともあリます<*2>","You don't need to apologize. These things happen, right?<*2>",,
#######,#024,,,
0x130142,"ごぶさたしてました
デンジュウクイズいかがですか?
 やる やらない<*A>","It's been a while, huh? How about a Denjuu Quiz? // (politeness?)
<0>Okay<0>No thanks<*A>",,
0x130144,"デンジュウのデンワバンゴウを
ゲットするにはどうすればいい?
 にげだす たたかう<*A>","What does one have to do in order to get a Denjuu's phone number?
<0>Flee<0>Fight<*A>",,
0x130146,"デンジュウカイについて
しリたくはないんですか?
 しリたい しリたくない<*A>","Don't you want to learn more about the Denjuu World?
<0>I do<0>Nope<*A>",,
0x130148,"それではいつまでたっても
ゲットすることはできませんよ!<*2>","If you do that, you will never be able to get one, unfortunately! //<*2>",,
0x13014a,"たたかって かつことによリ
ゲットできます!<*2>",Indeed! You get their number by fighting them and winning! //<*2>,,
0x13014c,"もし つぎのきかいがあれば
ぜひちょうせんしてください!<*2>","Fine. If the next opportunity arises, please take up the challenge! //<*2>",,
0x13014e,"そんな かなしいことは
にどといわないでください!<*2>",Please don't say such a sad thing ever again...<*2>,,
#######,#025,,,
0x130150,"とうとつなんだけどさ!
オマエはどっちがすき?
 テレファング まちをたんさく<*A>","I know this is sudden, but which one do you like most?
<0>Telefang<0>Exploring towns<*A>",,
0x130152,"テレファングの
どういうところがすきなの?
 かつこと まけること<*A>","What do you like about Telefang battles?
<0>Winning<0>Losing<*A>",,
0x130154,"たんさくしてるとき
なにがいちばんたのしい?
 ひととはなす たからさがし<*A>","What's the most fun thing for you while exploring?
<0>Talking to others<0>Finding treasure<*A>",,
0x130156,"やっぱリそうだよね!
オレも そうおもうよ!<*2>","That's right, isn't it? I feel the same way! //<*2>",,
0x130158,"めずらしいやつだな
ふつうはぎゃくだぞ!<*2>","That's unusual! Usually, you'd want the opposite! // (you’re weird)<*2>",,
0x13015a,"いろんなじょうほうを
きくことができるからな!<*2>","You'll get lots of information when talking to folks, after all! //<*2>",,
0x13015c,"みつけたときはうれしくて
しょうがないよな!<*2>","You can't help but feel so happy when you've found some, right? //<*2>",,
#######,#026,,,
0x13015e,"オレさ さいきんゆめをみるんだ
オマエは ゆめをみたか?
 みた みない<*A>","Y'know... I've been having these dreams lately... Have you had any? // 
(do you dream a lot?)
<0>Yes<0>No<*A>",,
0x130160,"どんなゆめみたのか
おしえてくれないかなー?
 いいよ どうして?<*A>","Could you tell me what kind of dreams they were? //
<0>Sure<0>Why?<*A>",,
0x130162,"オレ まいにちみるんだよ!
それもこわいゆめなんだ!
 どんな? ききたくない<*A>","I've been having them every night! And they're nightmares, at that!
<0>What kind?<0>I don't wanna know<*A>",,
0x130164,"ヘー ホームランを
うったゆめか!いいなー<*2>","Ohhh, dreams about hitting home runs? How nice! // (Nice!)<*2>",,
0x130166,"なんかさー ほかのひとの
ゆめってきょうみあるんだよね!<*2>",Well... I'm just really interested in what others dream about! // (other people?)<*2>,,
0x130168,"ききたいの?それがさ!
うずにまきこまれるゆめなんだ!<*2>","You want to know? Well... In my dreams, I get dragged into this whirlpool! //<*2>",,
0x13016a,"こわいのか?よるトイレに
いけなくなっちゃうからな...<*2>","Too scary for you? Well, they've made it difficult for me to go to the bathroom alone at night...<*2>",,
#######,#027,,,
0x13016c,"デンジュウカイは
おまえにとってたのしいか?
 たのしい いまいち<*A>","Do you consider the Denjuu World to be fun? //
<0>Yeah!<0>Could be better<*A>",,
0x13016e,"どんなところがたのしい?
 ともだちがいる なんとなく<*A>","What about it do you consider fun? //
<0>My friends here<0>Not sure<*A>",,
0x130170,"どんなところがたのしくない?
 かぞくがいない ぜんぶ<*A>","Really? What don't you like about it?
<0>I miss my family<0>Everything<*A>",,
0x130172,"なんていったって
トモダチはたいせつだよな!<*2>","Friends are more important than anything, after all! //<*2>",,
0x130174,"なんとなくか...
でも たのしいならいいか!<*2>","You're not sure what, huh... Well, you like it so it doesn't really matter! //<*2>",,
0x130176,"オマエがそんなさみしがリや
だとはしらなかったよ<*2>",I didn't know that you were the type to get that lonely! //<*2>,,
0x130178,"そんなはずないだろ!
いいところはいっぱいあるよ!<*2>","No way, really?! There's lots of good stuff in this world, though! // (good things?)<*2>",,
#######,#028,,,
0x13017a,"オマエ すきなこいるのか?
 いる おしえない<*A>","Do you have anyone you're interested in? // (a girl)
<0>Yes<0>Not telling<*A>",,
0x13017c,"どんなこなんだ?
オレにおしえてくれよ!
 いいよ ダーメ<*A>","What's she like? Please tell me! // (come on, tell me!)
<0>Sure<0>No way<*A>",,
0x13017e,"ケチくさいこといわないで
おしえてくれよ!
 どうしようかな ヒミツ<*A>","Don't be so stingy! I promise! ///
<0>Hmm...<0>It's a secret<*A>",,
